                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                  2.619,                 3.1706,                 2.3522,                 1.3351,                0.46961,                0.07518,                0.10275,                0.03021,                0.41053,                0.06888,                0.06081,                0.01337,                 2.8847,                 3.6867,                 2.5939,                 1.1585,             0.00054153,             0.00054153,             0.00054153
                     64,                 2.6377,                 3.2559,                  2.366,                 1.2437,                0.49929,                0.10651,                0.09968,                0.03606,                0.29201,                0.06412,                0.03712,                0.00998,                 2.8216,                 3.6022,                 2.6608,                 1.1279,              0.0005387,              0.0005387,              0.0005387
                     65,                 2.6498,                 3.1731,                 2.3869,                 1.2627,                0.35609,                0.07476,                0.07478,                0.03004,                0.35628,                0.06999,                0.09375,                0.02138,                 2.8178,                 3.5344,                 2.7392,                 1.1192,             0.00053587,             0.00053587,             0.00053587
                     66,                 2.6201,                 3.1164,                 2.2293,                  1.246,                0.46727,                0.08223,                0.07488,                0.02296,                0.45394,                0.07516,                0.04387,                0.01063,                 2.8867,                 3.7763,                 2.5673,                 1.1619,             0.00053304,             0.00053304,             0.00053304
                     67,                 2.5946,                 3.1436,                 2.3999,                  1.247,                0.32482,                0.07864,                0.07626,                0.02343,                0.30083,                0.06726,                0.06017,                0.01565,                 2.8724,                 3.6281,                 2.3629,                 1.1779,             0.00053022,             0.00053022,             0.00053022
                     68,                 2.6219,                 3.1749,                  2.348,                 1.2073,                0.36257,                0.23697,                0.11146,                0.02974,                0.31235,                0.21564,                0.08777,                0.01736,                 2.8424,                 3.6467,                 2.6134,                 1.1403,             0.00052739,             0.00052739,             0.00052739
                     69,                 2.5684,                 3.0092,                 2.3149,                 1.2939,                0.32747,                0.07431,                 0.0826,                0.02856,                0.30551,                0.06449,                0.04792,                0.01203,                 2.8499,                 3.5153,                 2.5703,                 1.1305,             0.00052456,             0.00052456,             0.00052456
                     70,                 2.5391,                 2.9845,                 2.3147,                 1.2951,                0.41902,                0.08457,                 0.1026,                0.03011,                0.40315,                0.07511,                 0.0884,                0.02406,                 2.8466,                 3.5647,                 2.4397,                 1.1352,             0.00052173,             0.00052173,             0.00052173
                     71,                   2.58,                 3.1614,                 2.3237,                 1.2344,                0.33873,                0.07088,                 0.1029,                0.03886,                0.29018,                0.20386,                0.09617,                0.02461,                 2.8293,                 3.5445,                 2.7163,                 1.1616,             0.00051891,             0.00051891,             0.00051891
                     72,                  2.634,                 3.1271,                 2.3481,                 1.2744,                0.42582,                0.08858,                0.08459,                0.02907,                0.46245,                0.10134,                0.08883,                 0.0174,                 2.8116,                 3.5642,                 2.4045,                 1.1412,             0.00051608,             0.00051608,             0.00051608
                     73,                 2.4943,                 3.0325,                 2.2455,                 1.2707,                0.32664,                0.08532,                 0.0771,                0.02223,                0.31671,                 0.0709,                0.05668,                0.01396,                 2.8012,                 3.5106,                 2.5261,                 1.1289,             0.00051325,             0.00051325,             0.00051325
                     74,                 2.5799,                 3.0486,                 2.2784,                 1.2451,                0.37583,                 0.1142,                0.11164,                0.03249,                0.37198,                0.13185,                0.09991,                0.02215,                 2.8815,                 3.6229,                 2.5038,                 1.1487,             0.00051042,             0.00051042,             0.00051042
                     75,                 2.5794,                 3.0658,                 2.3664,                 1.3338,                0.46929,                 0.0752,                0.08794,                0.02608,                0.43786,                 0.0679,                0.08092,                0.02603,                 2.8704,                   3.69,                 2.5815,                 1.1603,              0.0005076,              0.0005076,              0.0005076
                     76,                 2.5466,                  3.094,                 2.2525,                 1.2781,                0.47362,                 0.0702,                0.07299,                0.02385,                 0.4383,                0.06462,                0.04856,                0.01338,                 2.7715,                 3.5212,                 2.4837,                 1.1448,             0.00050477,             0.00050477,             0.00050477
                     77,                 2.4675,                 3.0379,                 2.1734,                 1.2743,                0.44424,                0.08169,                0.10518,                0.03263,                0.41443,                0.06015,                0.04356,                 0.0113,                 2.8246,                 3.6588,                 2.5052,                 1.1747,             0.00050194,             0.00050194,             0.00050194
                     78,                 2.4662,                 3.0346,                 2.2082,                  1.237,                0.34673,                0.08745,                0.07915,                0.02588,                0.32404,                0.07308,                0.04861,                0.01345,                 2.7935,                 3.6108,                 2.5285,                 1.1631,             0.00049911,             0.00049911,             0.00049911
                     79,                 2.4627,                 3.1015,                 2.2012,                 1.2555,                0.44448,                0.07983,                0.10653,                 0.0294,                0.40977,                0.06053,                 0.0438,                 0.0119,                 2.8476,                 3.5163,                 2.5922,                 1.1223,             0.00049629,             0.00049629,             0.00049629
                     80,                 2.5774,                 3.0902,                 2.2439,                 1.2122,                0.46492,                0.08287,                0.08208,                0.02279,                0.43111,                0.05864,                 0.0431,                0.01114,                 2.7372,                 3.5287,                 2.6156,                  1.135,             0.00049346,             0.00049346,             0.00049346
                     81,                 2.5227,                  3.038,                 2.2363,                 1.2719,                 0.3888,                0.12701,                 0.1009,                0.03786,                0.30312,                0.10733,                0.07471,                0.01397,                 2.9262,                   3.63,                 2.6102,                 1.1712,             0.00049063,             0.00049063,             0.00049063
                     82,                 2.5123,                 3.1027,                 2.2579,                 1.2237,                0.44564,                0.07205,                  0.067,                0.01884,                0.41582,                0.05537,                0.03082,                 0.0071,                 2.9459,                 3.5387,                 2.7853,                 1.1609,              0.0004878,              0.0004878,              0.0004878
