                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    204,                  1.924,                  2.348,                 1.5372,                 1.0246,                0.37194,                0.10854,                0.10135,                0.03113,                0.31259,                0.05906,                0.04318,                0.01124,                 2.9596,                 3.8559,                 2.7074,                 1.1459,             0.00014286,             0.00014286,             0.00014286
                    205,                  1.908,                 2.3816,                 1.4631,                 1.0353,                0.36986,                0.11358,                0.10594,                0.03444,                0.31475,                0.06035,                 0.0437,                0.01155,                 2.8992,                 3.7541,                 2.6911,                 1.1294,             0.00014003,             0.00014003,             0.00014003
                    206,                 1.8833,                 2.3439,                 1.4529,                 1.0617,                0.37546,                0.11083,                0.10795,                0.03373,                0.32218,                0.05467,                0.04536,                0.01218,                 2.9288,                 3.7845,                 2.7035,                 1.1352,              0.0001372,              0.0001372,              0.0001372
                    207,                 1.9581,                 2.3082,                 1.5262,                 1.0234,                 0.3795,                0.10815,                0.08534,                0.02621,                0.32555,                0.05774,                0.04736,                0.01386,                  2.954,                 3.7726,                  2.728,                 1.1508,             0.00013437,             0.00013437,             0.00013437
                    208,                 2.0864,                 2.3482,                 1.5797,                  1.049,                0.36674,                0.10813,                0.08333,                0.02314,                0.19093,                0.05224,                0.03818,                0.01019,                 2.9733,                 3.6898,                 2.7768,                 1.1494,             0.00013155,             0.00013155,             0.00013155
                    209,                 2.0125,                 2.4097,                  1.521,                 1.0493,                0.35647,                0.14911,                0.08626,                0.02572,                0.35673,                0.08804,                0.05256,                0.01211,                  2.955,                 3.6992,                 2.7059,                 1.1414,             0.00012872,             0.00012872,             0.00012872
                    210,                 1.9714,                 2.4416,                 1.5602,                 1.0799,                0.37636,                0.09982,                0.08473,                0.02539,                0.29591,                0.05417,                0.03777,                0.01075,                 2.9952,                 3.8089,                 2.7137,                 1.1533,             0.00012589,             0.00012589,             0.00012589
                    211,                 1.9024,                 2.3228,                 1.4376,                 1.0155,                0.33236,                0.11761,                0.08482,                 0.0257,                0.33252,                0.08598,                0.05746,                0.01364,                 2.9472,                 3.7872,                  2.748,                 1.1354,             0.00012307,             0.00012307,             0.00012307
                    212,                 2.0017,                 2.3868,                 1.4815,                 1.0378,                0.36729,                 0.1029,                  0.082,                0.02455,                0.34127,                0.08172,                0.04872,                0.01107,                 3.0152,                 3.7544,                 2.7891,                  1.147,             0.00012024,             0.00012024,             0.00012024
                    213,                 2.0276,                 2.4946,                 1.5158,                 1.0512,                0.36968,                 0.1065,                0.08447,                0.02517,                0.35908,                0.09078,                0.06531,                0.01542,                 2.9784,                  3.812,                 2.6936,                 1.1342,             0.00011741,             0.00011741,             0.00011741
                    214,                  1.995,                 2.4029,                 1.4799,                 1.0395,                0.37558,                0.10117,                0.08738,                0.02597,                0.36326,                0.09023,                0.06624,                0.01582,                 2.9352,                 3.7321,                  2.736,                 1.1301,             0.00011458,             0.00011458,             0.00011458
                    215,                 1.9088,                 2.2498,                 1.4906,                 1.0298,                0.23354,                 0.1093,                0.08593,                0.02594,                 0.1768,                0.09238,                0.03582,                0.01047,                 2.9771,                 3.7356,                 2.7888,                 1.1371,             0.00011176,             0.00011176,             0.00011176
                    216,                 1.9482,                 2.2619,                 1.5592,                 1.0629,                0.37327,                0.10799,                0.08665,                0.02559,                0.35099,                 0.0861,                0.06339,                0.01341,                 2.9808,                 3.7784,                 2.8932,                 1.1478,             0.00010893,             0.00010893,             0.00010893
                    217,                 1.8744,                 2.2065,                 1.4457,                  1.073,                0.38457,                0.10117,                 0.1041,                0.02852,                0.37489,                0.08352,                0.06295,                0.01416,                 2.9779,                 3.6838,                 2.7589,                 1.1482,              0.0001061,              0.0001061,              0.0001061
                    218,                  1.981,                 2.4196,                 1.5238,                 1.0313,                0.32434,                0.11788,                0.07465,                0.02014,                 0.2995,                0.09415,                0.04997,                0.01234,                 2.9715,                 3.7817,                  2.658,                 1.1423,             0.00010327,             0.00010327,             0.00010327
                    219,                 1.8667,                  2.321,                 1.4112,                 1.0515,                0.38142,                0.10247,                0.08314,                0.02298,                0.36716,                0.08855,                0.06466,                0.01483,                 2.9689,                  3.819,                 2.6758,                 1.1453,             0.00010045,             0.00010045,             0.00010045
                    220,                  1.949,                  2.359,                 1.5023,                 1.0477,                0.24427,                 0.1075,                 0.0781,                0.02163,                 0.2254,                0.08635,                0.05315,                0.01328,                 2.9864,                 3.7744,                 2.7446,                 1.1546,             9.7618e-05,             9.7618e-05,             9.7618e-05
                    221,                 2.0216,                 2.3151,                 1.5503,                  1.054,                0.25176,                 0.1051,                0.07262,                0.02015,                0.36142,                0.08355,                0.05283,                0.01253,                  2.986,                 3.8485,                 2.7164,                 1.1512,             9.4791e-05,             9.4791e-05,             9.4791e-05
                    222,                  1.938,                 2.3606,                 1.5237,                 1.0612,                0.35591,                0.10615,                0.08239,                 0.0241,                0.32135,                0.09047,                0.05903,                0.01271,                  2.953,                 3.7329,                 2.7425,                  1.144,             9.1963e-05,             9.1963e-05,             9.1963e-05
                    223,                 1.9839,                 2.3179,                 1.4924,                 1.0755,                 0.3654,                0.09768,                0.08137,                0.02181,                0.34261,                0.07993,                0.05635,                0.01281,                 2.9914,                  3.818,                 2.6937,                 1.1493,             8.9136e-05,             8.9136e-05,             8.9136e-05
                    224,                 2.0099,                 2.3075,                 1.5343,                 1.0292,                0.30356,                0.11369,                0.10698,                0.02388,                0.19908,                0.05965,                 0.0453,                0.01166,                 3.0038,                 3.7149,                 2.6582,                 1.1462,             8.6308e-05,             8.6308e-05,             8.6308e-05
                    225,                 1.8827,                 2.2489,                 1.4238,                 1.0513,                0.28685,                0.11314,                0.10699,                0.03448,                0.20855,                0.05704,                 0.0536,                0.01371,                 2.9628,                 3.6989,                  2.755,                 1.1375,             8.3481e-05,             8.3481e-05,             8.3481e-05
                    226,                 1.9696,                 2.3614,                 1.4929,                 1.0252,                0.40405,                0.11067,                0.11227,                0.03486,                0.19569,                0.05776,                 0.0446,                0.01258,                 2.9499,                 3.7056,                 2.8178,                 1.1317,             8.0653e-05,             8.0653e-05,             8.0653e-05
                    227,                 1.9659,                 2.3293,                 1.5111,                 1.0416,                  0.316,                0.10311,                0.11191,                0.03164,                0.23036,                0.09102,                 0.0609,                0.01547,                 2.9463,                 3.7436,                 2.7643,                  1.134,             7.7826e-05,             7.7826e-05,             7.7826e-05
                    228,                 1.9383,                 2.3703,                 1.4636,                 1.0367,                0.31249,                 0.1037,                0.10484,                0.03056,                0.21251,                0.09927,                0.05525,                0.01357,                 2.9644,                 3.7862,                 2.7954,                 1.1419,             7.4999e-05,             7.4999e-05,             7.4999e-05
                    229,                 1.9216,                  2.343,                 1.4174,                 1.0329,                0.28093,                0.10605,                0.08466,                0.02843,                0.25778,                0.08841,                0.06392,                0.01382,                 2.9745,                 3.7679,                 2.7109,                 1.1388,             7.2171e-05,             7.2171e-05,             7.2171e-05
                    230,                  1.865,                  2.303,                 1.4251,                 1.0468,                0.37513,                0.09956,                0.08633,                0.02714,                0.35113,                0.08122,                0.05756,                0.01282,                 3.0048,                 3.7113,                 2.7262,                 1.1424,             6.9344e-05,             6.9344e-05,             6.9344e-05
                    231,                 1.9727,                 2.3633,                 1.4696,                 1.0497,                0.36826,                 0.0999,                  0.084,                0.02649,                0.36461,                0.08863,                0.06258,                0.01263,                 3.0007,                 3.7407,                 2.7497,                 1.1404,             6.6516e-05,             6.6516e-05,             6.6516e-05
                    232,                 1.8565,                 2.3481,                 1.4477,                 1.0594,                0.37065,                0.10421,                0.08699,                0.02711,                0.36286,                0.07938,                0.05667,                0.01194,                 3.0252,                 3.7106,                 2.7622,                 1.1539,             6.3689e-05,             6.3689e-05,             6.3689e-05
                    233,                 2.0115,                 2.3933,                 1.4598,                 1.0368,                0.37966,                0.11116,                0.08561,                0.02996,                0.36681,                0.08559,                0.06076,                 0.0131,                 3.0098,                 3.7363,                 2.7243,                 1.1588,             6.0861e-05,             6.0861e-05,             6.0861e-05
                    234,                 1.9872,                 2.2216,                 1.4234,                 1.0331,                0.25055,                0.11732,                 0.0859,                0.02734,                0.21134,                 0.0913,                0.05595,                0.01219,                 2.9935,                 3.7269,                 2.7675,                 1.1553,             5.8034e-05,             5.8034e-05,             5.8034e-05
                    235,                 1.9553,                 2.3979,                 1.4636,                 1.0343,                0.36877,                0.10562,                0.10261,                0.02851,                0.33697,                0.08113,                0.05241,                0.01106,                  2.967,                 3.7099,                 2.7796,                 1.1476,             5.5206e-05,             5.5206e-05,             5.5206e-05
                    236,                 1.9659,                 2.3935,                 1.4707,                 1.0105,                0.25731,                0.10519,                0.07979,                0.02744,                0.21449,                0.09102,                0.05668,                0.01297,                 2.9578,                 3.7561,                 2.8498,                  1.139,             5.2379e-05,             5.2379e-05,             5.2379e-05
                    237,                 1.8717,                 2.2331,                 1.3908,                 1.0157,                0.24563,                0.10499,                0.08019,                0.02814,                0.35165,                0.08369,                0.06014,                0.01329,                 2.9438,                 3.7169,                 2.8284,                 1.1383,             4.9552e-05,             4.9552e-05,             4.9552e-05
                    238,                 1.8619,                 2.2524,                 1.5049,                 1.0466,                0.37878,                0.10619,                0.08279,                0.02805,                0.31518,                0.04701,                0.03786,                0.01068,                 2.9456,                  3.722,                  2.823,                 1.1396,             4.6724e-05,             4.6724e-05,             4.6724e-05
                    239,                  1.949,                 2.3659,                 1.5055,                 1.0229,                0.37926,                0.10241,                 0.0814,                 0.0275,                0.35981,                0.08798,                0.05837,                0.01251,                  2.961,                 3.7435,                  2.817,                 1.1495,             4.3897e-05,             4.3897e-05,             4.3897e-05
                    240,                 1.8823,                 2.2215,                 1.4269,                 1.0338,                0.26318,                0.10713,                0.07883,                0.02693,                0.36098,                0.08744,                0.06057,                0.01332,                   2.96,                 3.7127,                 2.7903,                   1.15,             4.1069e-05,             4.1069e-05,             4.1069e-05
                    241,                 2.0073,                 2.3661,                 1.5681,                 1.0518,                0.22795,                0.10445,                0.09017,                0.02623,                0.34276,                0.06816,                0.04774,                0.01043,                 3.0022,                 3.8354,                 2.8615,                 1.1491,             3.8242e-05,             3.8242e-05,             3.8242e-05
                    242,                 1.9983,                 2.3531,                 1.4729,                 1.0846,                0.22646,                0.10003,                0.08467,                0.02258,                 0.1601,                0.05547,                0.02509,                0.00671,                 3.0197,                 4.0091,                 2.8591,                 1.1558,             3.5414e-05,             3.5414e-05,             3.5414e-05
                    243,                 1.9643,                 2.1754,                 1.4614,                  1.045,                0.23124,                0.10787,                0.08344,                0.02245,                0.05444,                0.05547,                0.02577,                0.00759,                 3.0307,                 4.0636,                 2.8409,                 1.1585,             3.2587e-05,             3.2587e-05,             3.2587e-05
                    244,                 1.8663,                 2.1451,                 1.4577,                 1.0292,                0.34865,                0.11171,                0.09012,                0.02161,                0.28194,                0.04797,                0.02372,                0.00678,                 3.0432,                 4.0413,                 2.8792,                  1.158,              2.976e-05,              2.976e-05,              2.976e-05
                    245,                 1.8834,                 2.3275,                 1.4416,                 1.0509,                0.35076,                0.10499,                0.07128,                0.02153,                0.28643,                0.04603,                0.02528,                0.00643,                  3.042,                 4.0492,                 2.9187,                 1.1593,             2.6932e-05,             2.6932e-05,             2.6932e-05
                    246,                 1.8595,                 2.1067,                 1.3752,                 1.0489,                0.34997,                0.10321,                0.09106,                0.02408,                0.32699,                0.08177,                0.04884,                0.00946,                 3.0129,                 4.0209,                 2.8946,                 1.1523,             2.4105e-05,             2.4105e-05,             2.4105e-05
                    247,                  1.875,                 2.3937,                 1.4238,                 1.0384,                0.34284,                0.09831,                0.07066,                0.02174,                0.32686,                0.08242,                0.04878,                0.00922,                 3.0173,                 4.0084,                 2.8573,                 1.1487,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    248,                 1.9623,                 2.1954,                 1.4857,                 1.0256,                 0.2212,                0.10748,                0.06481,                0.02062,                0.31205,                0.08536,                0.04345,                0.00763,                 3.0475,                 4.0494,                  2.847,                 1.1538,              1.845e-05,              1.845e-05,              1.845e-05
                    249,                 1.8252,                 2.1301,                 1.3404,                 1.0314,                0.22291,                0.10617,                0.06473,                0.02058,                0.31328,                0.08135,                0.04413,                0.00763,                 3.0402,                 4.0605,                 2.8304,                 1.1532,             1.5622e-05,             1.5622e-05,             1.5622e-05
                    250,                 1.7491,                 2.1103,                  1.343,                 1.0025,                 0.3412,                0.10376,                0.06673,                0.02093,                0.31038,                0.07924,                0.04297,                0.00759,                 3.0398,                  4.049,                 2.8565,                 1.1549,             1.2795e-05,             1.2795e-05,             1.2795e-05
